"","date","name","first_dose","second_dose","third_dose"
"1","2021-12-07","England",19228,23206,319214
"2","2021-12-06","England",17537,21622,268062
"3","2021-12-05","England",16008,20872,221674
"4","2021-12-04","England",24789,34276,412755
"5","2021-12-03","England",20806,26469,332834
"6","2021-12-02","England",22731,26919,353104
"7","2021-12-01","England",22406,28070,341121
"8","2021-11-30","England",27138,27933,325881
"9","2021-11-29","England",19496,22601,258944
"10","2021-11-28","England",15301,22482,223189
"11","2021-11-27","England",21362,30616,419657
"12","2021-11-26","England",19098,21923,320981
"13","2021-11-25","England",20677,19615,334749
"14","2021-11-24","England",21775,20048,315306
"15","2021-11-23","England",23445,18562,301034
"16","2021-11-22","England",20665,15567,249999
"17","2021-11-21","England",14066,11240,189138
"18","2021-11-20","England",23350,21592,412685
"19","2021-11-19","England",24413,18723,305470
"20","2021-11-18","England",24034,17429,318203
"21","2021-11-17","England",28332,18511,314138
"22","2021-11-16","England",27258,16897,282808
"23","2021-11-15","England",27672,15525,232248
"24","2021-11-14","England",18296,11959,176724
"25","2021-11-13","England",30618,22806,411430
"26","2021-11-12","England",31649,19229,299597
"27","2021-11-11","England",34640,19560,305139
"28","2021-11-10","England",115551,43996,465913
"29","2021-11-09","England",36321,18208,278763
"30","2021-11-08","England",30386,17398,222489
"31","2021-11-07","England",22430,11202,166959
"32","2021-11-06","England",33721,22869,371339
"33","2021-11-05","England",40573,19037,266470
"34","2021-11-04","England",40075,17167,274443
"35","2021-11-03","England",42413,17374,267772
"36","2021-11-02","England",43508,17807,246266
"37","2021-11-01","England",34642,15751,196712
"38","2021-10-31","England",22954,11464,131261
"39","2021-10-30","England",31157,22479,330445
"40","2021-10-29","England",36561,19175,238142
"41","2021-10-28","England",39397,19586,247995
"42","2021-10-27","England",39964,18740,236580
"43","2021-10-26","England",35780,19499,217396
"44","2021-10-25","England",32032,18251,188412
"45","2021-10-24","England",19607,14138,138088
"46","2021-10-23","England",32220,27527,325140
"47","2021-10-22","England",41732,22423,248183
"48","2021-10-21","England",44558,22027,255406
"49","2021-10-20","England",44521,21701,223816
"50","2021-10-19","England",38533,21141,199008
"51","2021-10-18","England",35334,20668,150296
"52","2021-10-17","England",9839,14545,99308
"53","2021-10-16","England",19735,30440,285730
"54","2021-10-15","England",35884,25380,198085
"55","2021-10-14","England",38185,23489,214287
"56","2021-10-13","England",32315,24828,190698
"57","2021-10-12","England",30636,22447,160010
"58","2021-10-11","England",23232,20350,121718
"59","2021-10-10","England",9111,15643,91878
"60","2021-10-09","England",18438,29751,250078
"61","2021-10-08","England",25536,25006,172645
"62","2021-10-07","England",25319,24208,176054
"63","2021-10-06","England",24519,24135,160387
"64","2021-10-05","England",35193,24253,154143
"65","2021-10-04","England",30784,24746,122358
"66","2021-10-03","England",10720,17502,88233
"67","2021-10-02","England",18736,30849,193759
"68","2021-10-01","England",31978,29993,153160
"69","2021-09-30","England",28689,30318,NA
"70","2021-09-29","England",27445,29907,NA
"71","2021-09-28","England",28566,29670,NA
"72","2021-09-27","England",20704,28590,NA
"73","2021-09-26","England",8814,21476,NA
"74","2021-09-25","England",17607,43049,NA
"75","2021-09-24","England",21866,39567,NA
"76","2021-09-23","England",21588,41728,NA
"77","2021-09-22","England",18462,39676,NA
"78","2021-09-21","England",16924,39248,NA
"79","2021-09-20","England",15669,41438,NA
"80","2021-09-19","England",10344,30458,NA
"81","2021-09-18","England",21628,66134,NA
"82","2021-09-17","England",17351,55257,NA
"83","2021-09-16","England",18974,58941,NA
"84","2021-09-15","England",20120,57096,NA
"85","2021-09-14","England",17708,56521,NA
"86","2021-09-13","England",15511,54807,NA
"87","2021-09-12","England",11724,42902,NA
"88","2021-09-11","England",23925,86068,NA
"89","2021-09-10","England",21879,78763,NA
"90","2021-09-09","England",22006,86592,NA
"91","2021-09-08","England",20409,75548,NA
"92","2021-09-07","England",22866,73004,NA
"93","2021-09-06","England",18277,69758,NA
"94","2021-09-05","England",15892,59265,NA
"95","2021-09-04","England",33987,116327,NA
"96","2021-09-03","England",29614,98122,NA
"97","2021-09-02","England",33775,103997,NA
"98","2021-09-01","England",37829,102086,NA
"99","2021-08-31","England",34618,105003,NA
"100","2021-08-30","England",15530,52137,NA
"101","2021-08-29","England",20547,64710,NA
"102","2021-08-28","England",37991,116583,NA
"103","2021-08-27","England",38392,115249,NA
"104","2021-08-26","England",46165,127267,NA
"105","2021-08-25","England",57563,142307,NA
"106","2021-08-24","England",45945,109221,NA
"107","2021-08-23","England",37974,113005,NA
"108","2021-08-22","England",32424,96246,NA
"109","2021-08-21","England",61187,174038,NA
"110","2021-08-20","England",51538,145473,NA
"111","2021-08-19","England",47632,153886,NA
"112","2021-08-18","England",39721,147569,NA
"113","2021-08-17","England",33478,120908,NA
"114","2021-08-16","England",28992,117998,NA
"115","2021-08-15","England",24829,101881,NA
"116","2021-08-14","England",39423,173718,NA
"117","2021-08-13","England",32476,143690,NA
"118","2021-08-12","England",35082,165425,NA
"119","2021-08-11","England",33164,145954,NA
"120","2021-08-10","England",28314,123721,NA
"121","2021-08-09","England",20933,112286,NA
"122","2021-08-08","England",18607,94332,NA
"123","2021-08-07","England",33159,184869,NA
"124","2021-08-06","England",27032,137172,NA
"125","2021-08-05","England",30986,143423,NA
"126","2021-08-04","England",28780,131581,NA
"127","2021-08-03","England",24874,108604,NA
"128","2021-08-02","England",22454,94425,NA
"129","2021-08-01","England",18545,92416,NA
"130","2021-07-31","England",32892,182825,NA
"131","2021-07-30","England",30683,142715,NA
"132","2021-07-29","England",35751,145472,NA
"133","2021-07-28","England",32492,131048,NA
"134","2021-07-27","England",29182,118328,NA
"135","2021-07-26","England",25220,115924,NA
"136","2021-07-25","England",20382,94435,NA
"137","2021-07-24","England",38958,177885,NA
"138","2021-07-23","England",37888,154761,NA
"139","2021-07-22","England",39457,156245,NA
"140","2021-07-21","England",38826,146281,NA
"141","2021-07-20","England",33657,126163,NA
"142","2021-07-19","England",31469,112544,NA
"143","2021-07-18","England",27654,105472,NA
"144","2021-07-17","England",59268,196422,NA
"145","2021-07-16","England",50247,163936,NA
"146","2021-07-15","England",52493,167152,NA
"147","2021-07-14","England",50005,151335,NA
"148","2021-07-13","England",49756,124905,NA
"149","2021-07-12","England",45184,99817,NA
"150","2021-07-11","England",33937,80755,NA
"151","2021-07-10","England",82150,174745,NA
"152","2021-07-09","England",77955,143603,NA
"153","2021-07-08","England",82807,135457,NA
"154","2021-07-07","England",72814,128226,NA
"155","2021-07-06","England",71524,109148,NA
"156","2021-07-05","England",63859,107977,NA
"157","2021-07-04","England",62672,85748,NA
"158","2021-07-03","England",121588,165665,NA
"159","2021-07-02","England",107959,142275,NA
"160","2021-07-01","England",133675,154177,NA
"161","2021-06-30","England",120497,138993,NA
"162","2021-06-29","England",115376,115484,NA
"163","2021-06-28","England",106496,107318,NA
"164","2021-06-27","England",118366,97993,NA
"165","2021-06-26","England",212685,172324,NA
"166","2021-06-25","England",177515,133375,NA
"167","2021-06-24","England",202390,136679,NA
"168","2021-06-23","England",187513,128688,NA
"169","2021-06-22","England",275647,210730,NA
"170","2021-06-21","England",0,0,NA
"171","2021-06-20","England",142223,78594,NA
"172","2021-06-19","England",255393,195646,NA
"173","2021-06-18","England",196246,162030,NA
"174","2021-06-17","England",217157,176158,NA
"175","2021-06-16","England",170367,180627,NA
"176","2021-06-15","England",154647,175703,NA
"177","2021-06-14","England",114606,174262,NA
"178","2021-06-13","England",123866,153449,NA
"179","2021-06-12","England",228144,276813,NA
